م. رف,م. مجموعة,م. التصنيف,التصنيف,اسم الكتاب,الجزء,السلسلة,لقب المؤلف,اسم المؤلف,لقب المترجم,اسم المترجم,الناشر,سنة النشر,الطبعة,الرقم العام,الرقم الخاص,تصنيف الكتاب
1,1,1,ب,سفر الرؤيا مع مردات ليلة أبو غالمسيس,,,,,,,دير السيدة العذراء السريان,,,8105,228,كتاب مقدس
1,1,1,ج,العهد الجديد,,,,,,,دار الكتاب المقدس,1968,,6261,225,كتاب مقدس
1,1,2,ج,اللاويين,,,,,,,المطبعة الأمريكانية -بيروت,1933,,13626,222,كتاب مقدس
1,1,3,ج,الكتاب المقدس,,,,,,,دار الكتاب المقدس,,,12072,220,كتاب مقدس
1,1,4,ج,المزامير,,,,,,,دار الكتاب المقدس,,,9698,223,كتاب مقدس
1,1,5,ج,الأسفار القانونية التي حذفها البروتستانت,,,المرحوم الأستاذ,يسى عبد المسيح,,,,,,6265,229,كتاب مقدس
1,1,6,ج,الأسفار القانونية التي حذفها البروتستانت,,,,,,,مدارس الأحد المرقسية بالإسكندرية,,,13623,229,كتاب مقدس
1,1,7,ج,مزامير داود النبي والملك,,,,,,,مكتبة المحبة,2003,,13624,223,كتاب مقدس
1,1,8,ج,كتاب الزبور الإلهي,,,,,,,مجلس معارف ولاية بيروت الجليلة,1891,,14479,223,كتاب مقدس
1,1,9,ج,أيوب والموعظة على الجبل,,,,,,,دار الكتاب المقدس,1971,,13625,224,كتاب مقدس
2,1,1,أ,دائرة المعارف الكتابية : أ,1,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1988,1,153,203,دائرة المعارف الكتابية
2,1,2,أ,دائرة المعارف الكتابية : أ,1,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1988,1,154,203,دائرة المعارف الكتابية
2,1,3,أ,دائرة المعارف الكتابية : أ,1,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1988,1,155,203,دائرة المعارف الكتابية
2,1,4,أ,دائرة المعارف الكتابية : أ,1,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1988,1,156,203,دائرة المعارف الكتابية
2,1,5,أ,دائرة المعارف الكتابية : ب - ج,2,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1990,1,157,203,دائرة المعارف الكتابية
2,1,6,أ,دائرة المعارف الكتابية : ب - ج,2,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1990,1,158,203,دائرة المعارف الكتابية
2,1,7,أ,دائرة المعارف الكتابية : ب - ج,2,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1990,1,159,203,دائرة المعارف الكتابية
2,1,8,أ,دائرة المعارف الكتابية : ب - ج,2,دائرة المعارف الكتابية,,مجموعة مؤلفين,,,دار الثقافة,1990,1,160,203,دائرة المعارف الكتابية
